TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,1.515,2.900,Primero - Primaria,273,526
Mujeres,1.385,2.900,Primero - Primaria,253,526
Hombres,1.515,2.900,Segundo - Primaria,244,477
Mujeres,1.385,2.900,Segundo - Primaria,233,477
Hombres,1.515,2.900,Tercero - Primaria,244,490
Mujeres,1.385,2.900,Tercero - Primaria,246,490
Hombres,1.515,2.900,Cuarto - Primaria,255,479
Mujeres,1.385,2.900,Cuarto - Primaria,224,479
Hombres,1.515,2.900,Quinto - Primaria,268,479
Mujeres,1.385,2.900,Quinto - Primaria,211,479
Hombres,1.515,2.900,Sexto - Primaria,231,449
Mujeres,1.385,2.900,Sexto - Primaria,218,449

