TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,6.431,12.772,Primero - Primaria,1.118,2.171
Mujeres,6.341,12.772,Primero - Primaria,1.053,2.171
Hombres,6.431,12.772,Segundo - Primaria,1.075,2.134
Mujeres,6.341,12.772,Segundo - Primaria,1.059,2.134
Hombres,6.431,12.772,Tercero - Primaria,1.022,2.066
Mujeres,6.341,12.772,Tercero - Primaria,1.044,2.066
Hombres,6.431,12.772,Cuarto - Primaria,1.081,2.158
Mujeres,6.341,12.772,Cuarto - Primaria,1.077,2.158
Hombres,6.431,12.772,Quinto - Primaria,1.074,2.098
Mujeres,6.341,12.772,Quinto - Primaria,1.024,2.098
Hombres,6.431,12.772,Sexto - Primaria,1.061,2.145
Mujeres,6.341,12.772,Sexto - Primaria,1.084,2.145

