TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,2.978,5.965,Primero - Primaria,503,1.035
Mujeres,2.987,5.965,Primero - Primaria,532,1.035
Hombres,2.978,5.965,Segundo - Primaria,484,970
Mujeres,2.987,5.965,Segundo - Primaria,486,970
Hombres,2.978,5.965,Tercero - Primaria,503,989
Mujeres,2.987,5.965,Tercero - Primaria,486,989
Hombres,2.978,5.965,Cuarto - Primaria,499,1.000
Mujeres,2.987,5.965,Cuarto - Primaria,501,1.000
Hombres,2.978,5.965,Quinto - Primaria,481,960
Mujeres,2.987,5.965,Quinto - Primaria,479,960
Hombres,2.978,5.965,Sexto - Primaria,508,1.011
Mujeres,2.987,5.965,Sexto - Primaria,503,1.011

