TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,7.236,14.051,Primero - Primaria,1.378,2.646
Mujeres,6.815,14.051,Primero - Primaria,1.268,2.646
Hombres,7.236,14.051,Segundo - Primaria,1.296,2.533
Mujeres,6.815,14.051,Segundo - Primaria,1.237,2.533
Hombres,7.236,14.051,Tercero - Primaria,1.192,2.309
Mujeres,6.815,14.051,Tercero - Primaria,1.117,2.309
Hombres,7.236,14.051,Cuarto - Primaria,1.182,2.279
Mujeres,6.815,14.051,Cuarto - Primaria,1.097,2.279
Hombres,7.236,14.051,Quinto - Primaria,1.075,2.154
Mujeres,6.815,14.051,Quinto - Primaria,1.079,2.154
Hombres,7.236,14.051,Sexto - Primaria,1.113,2.130
Mujeres,6.815,14.051,Sexto - Primaria,1.017,2.130

