TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,4.105,8.859,Primero - Primaria,643,1.473
Mujeres,4.754,8.859,Primero - Primaria,830,1.473
Hombres,4.105,8.859,Segundo - Primaria,719,1.474
Mujeres,4.754,8.859,Segundo - Primaria,755,1.474
Hombres,4.105,8.859,Tercero - Primaria,658,1.442
Mujeres,4.754,8.859,Tercero - Primaria,784,1.442
Hombres,4.105,8.859,Cuarto - Primaria,702,1.468
Mujeres,4.754,8.859,Cuarto - Primaria,766,1.468
Hombres,4.105,8.859,Quinto - Primaria,667,1.461
Mujeres,4.754,8.859,Quinto - Primaria,794,1.461
Hombres,4.105,8.859,Sexto - Primaria,716,1.541
Mujeres,4.754,8.859,Sexto - Primaria,825,1.541

