TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,2.998,5.649,Primero - Primaria,507,964
Mujeres,2.651,5.649,Primero - Primaria,457,964
Hombres,2.998,5.649,Segundo - Primaria,468,883
Mujeres,2.651,5.649,Segundo - Primaria,415,883
Hombres,2.998,5.649,Tercero - Primaria,500,939
Mujeres,2.651,5.649,Tercero - Primaria,439,939
Hombres,2.998,5.649,Cuarto - Primaria,529,981
Mujeres,2.651,5.649,Cuarto - Primaria,452,981
Hombres,2.998,5.649,Quinto - Primaria,490,938
Mujeres,2.651,5.649,Quinto - Primaria,448,938
Hombres,2.998,5.649,Sexto - Primaria,504,944
Mujeres,2.651,5.649,Sexto - Primaria,440,944

