TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,3.211,6.161,Primero - Primaria,607,1.158
Mujeres,2.950,6.161,Primero - Primaria,551,1.158
Hombres,3.211,6.161,Segundo - Primaria,598,1.168
Mujeres,2.950,6.161,Segundo - Primaria,570,1.168
Hombres,3.211,6.161,Tercero - Primaria,503,993
Mujeres,2.950,6.161,Tercero - Primaria,490,993
Hombres,3.211,6.161,Cuarto - Primaria,515,982
Mujeres,2.950,6.161,Cuarto - Primaria,467,982
Hombres,3.211,6.161,Quinto - Primaria,492,901
Mujeres,2.950,6.161,Quinto - Primaria,409,901
Hombres,3.211,6.161,Sexto - Primaria,496,959
Mujeres,2.950,6.161,Sexto - Primaria,463,959

