TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,6.414,12.479,Primero - Primaria,1.042,1.995
Mujeres,6.065,12.479,Primero - Primaria,953,1.995
Hombres,6.414,12.479,Segundo - Primaria,1.067,2.054
Mujeres,6.065,12.479,Segundo - Primaria,987,2.054
Hombres,6.414,12.479,Tercero - Primaria,1.019,2.057
Mujeres,6.065,12.479,Tercero - Primaria,1.038,2.057
Hombres,6.414,12.479,Cuarto - Primaria,1.075,2.087
Mujeres,6.065,12.479,Cuarto - Primaria,1.012,2.087
Hombres,6.414,12.479,Quinto - Primaria,1.082,2.121
Mujeres,6.065,12.479,Quinto - Primaria,1.039,2.121
Hombres,6.414,12.479,Sexto - Primaria,1.129,2.165
Mujeres,6.065,12.479,Sexto - Primaria,1.036,2.165

