TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,6.435,12.284,Primero - Primaria,1.009,1.975
Mujeres,5.849,12.284,Primero - Primaria,966,1.975
Hombres,6.435,12.284,Segundo - Primaria,1.001,1.957
Mujeres,5.849,12.284,Segundo - Primaria,956,1.957
Hombres,6.435,12.284,Tercero - Primaria,1.046,2.040
Mujeres,5.849,12.284,Tercero - Primaria,994,2.040
Hombres,6.435,12.284,Cuarto - Primaria,1.084,2.017
Mujeres,5.849,12.284,Cuarto - Primaria,933,2.017
Hombres,6.435,12.284,Quinto - Primaria,1.108,2.097
Mujeres,5.849,12.284,Quinto - Primaria,989,2.097
Hombres,6.435,12.284,Sexto - Primaria,1.187,2.198
Mujeres,5.849,12.284,Sexto - Primaria,1.011,2.198

