TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,1.981,3.750,Primero - Primaria,313,606
Mujeres,1.769,3.750,Primero - Primaria,293,606
Hombres,1.981,3.750,Segundo - Primaria,294,592
Mujeres,1.769,3.750,Segundo - Primaria,298,592
Hombres,1.981,3.750,Tercero - Primaria,303,596
Mujeres,1.769,3.750,Tercero - Primaria,293,596
Hombres,1.981,3.750,Cuarto - Primaria,363,655
Mujeres,1.769,3.750,Cuarto - Primaria,292,655
Hombres,1.981,3.750,Quinto - Primaria,354,653
Mujeres,1.769,3.750,Quinto - Primaria,299,653
Hombres,1.981,3.750,Sexto - Primaria,354,648
Mujeres,1.769,3.750,Sexto - Primaria,294,648

