TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,2.185,4.301,Primero - Primaria,323,630
Mujeres,2.116,4.301,Primero - Primaria,307,630
Hombres,2.185,4.301,Segundo - Primaria,316,652
Mujeres,2.116,4.301,Segundo - Primaria,336,652
Hombres,2.185,4.301,Tercero - Primaria,375,720
Mujeres,2.116,4.301,Tercero - Primaria,345,720
Hombres,2.185,4.301,Cuarto - Primaria,372,747
Mujeres,2.116,4.301,Cuarto - Primaria,375,747
Hombres,2.185,4.301,Quinto - Primaria,372,740
Mujeres,2.116,4.301,Quinto - Primaria,368,740
Hombres,2.185,4.301,Sexto - Primaria,427,812
Mujeres,2.116,4.301,Sexto - Primaria,385,812

