TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,4.876,9.392,Primero - Primaria,774,1.439
Mujeres,4.516,9.392,Primero - Primaria,665,1.439
Hombres,4.876,9.392,Segundo - Primaria,797,1.504
Mujeres,4.516,9.392,Segundo - Primaria,707,1.504
Hombres,4.876,9.392,Tercero - Primaria,766,1.523
Mujeres,4.516,9.392,Tercero - Primaria,757,1.523
Hombres,4.876,9.392,Cuarto - Primaria,815,1.592
Mujeres,4.516,9.392,Cuarto - Primaria,777,1.592
Hombres,4.876,9.392,Quinto - Primaria,859,1.670
Mujeres,4.516,9.392,Quinto - Primaria,811,1.670
Hombres,4.876,9.392,Sexto - Primaria,865,1.664
Mujeres,4.516,9.392,Sexto - Primaria,799,1.664

