Features,Model,Score
features_visual,RandomForest,0.6656637781183656
features_visual,XGBoost,0.70431336016383
features_visual,LightGBM,0.6982629350949776
features_visual,CatBoost,0.7009710787886634
features_test,RandomForest,0.5833100056719458
features_test,XGBoost,0.5924270907599974
features_test,LightGBM,0.5901055317776238
features_test,CatBoost,0.6045932682246893
features_rfe,RandomForest,0.6179030723612169
features_rfe,XGBoost,0.6255396666753817
features_rfe,LightGBM,0.6264851018469455
features_rfe,CatBoost,0.6176076105728677
features_hard,RandomForest,0.6495442561420808
features_hard,XGBoost,0.6705611513357823
features_hard,LightGBM,0.6736590261779243
features_hard,CatBoost,0.6741926508027009
features_all,RandomForest,0.6732941988709968
features_all,XGBoost,0.7054599959010053
features_all,LightGBM,0.7065446167317646
features_all,CatBoost,0.699018596894942
pca,RandomForest,0.6176131221678475
pca,XGBoost,0.6555701952850097
pca,LightGBM,0.6504309115952953
pca,CatBoost,0.6686267608553866
