Features,Model,Score
features_visual,RandomForest,0.8863960828186366
features_visual,XGBoost,0.892675380735173
features_visual,LightGBM,0.8929274679423713
features_visual,CatBoost,0.8945334509908032
features_test,RandomForest,0.8343476451156014
features_test,XGBoost,0.8366735995045996
features_test,LightGBM,0.8404746340824081
features_test,CatBoost,0.8532943257504744
features_rfe,RandomForest,0.8495873938814427
features_rfe,XGBoost,0.8402474438480168
features_rfe,LightGBM,0.8524765874292978
features_rfe,CatBoost,0.8593684246298843
features_hard,RandomForest,0.8826504599387549
features_hard,XGBoost,0.8804856332248955
features_hard,LightGBM,0.8841344423469399
features_hard,CatBoost,0.8846896164525833
features_all,RandomForest,0.8878507775846817
features_all,XGBoost,0.8966904539490091
features_all,LightGBM,0.8949161302745285
features_all,CatBoost,0.895603923782953
pca,RandomForest,0.8693257887889224
pca,XGBoost,0.8752637356358697
pca,LightGBM,0.877524402011302
pca,CatBoost,0.8794810651884033
