Features,Model,Score
features_visual,RandomForest,0.6898493519077646
features_visual,XGBoost,0.7138320514602049
features_visual,LightGBM,0.7172907404496514
features_visual,CatBoost,0.7084278589827567
features_test,RandomForest,0.5925812711231758
features_test,XGBoost,0.6006060885633189
features_test,LightGBM,0.6017133888010695
features_test,CatBoost,0.6054831191008316
features_rfe,RandomForest,0.6380929103271388
features_rfe,XGBoost,0.6328860162722573
features_rfe,LightGBM,0.632411873209042
features_rfe,CatBoost,0.6406331637276992
features_hard,RandomForest,0.6797881846212246
features_hard,XGBoost,0.6806608027274716
features_hard,LightGBM,0.6800843584609486
features_hard,CatBoost,0.6871457547375017
features_all,RandomForest,0.694840020616309
features_all,XGBoost,0.7047837691693515
features_all,LightGBM,0.7093190962862181
features_all,CatBoost,0.7100822547190114
