TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,6.135,12.041,Primero - Primaria,1.066,2.104
Mujeres,5.906,12.041,Primero - Primaria,1.038,2.104
Hombres,6.135,12.041,Segundo - Primaria,1.082,2.153
Mujeres,5.906,12.041,Segundo - Primaria,1.071,2.153
Hombres,6.135,12.041,Tercero - Primaria,972,1.975
Mujeres,5.906,12.041,Tercero - Primaria,1.003,1.975
Hombres,6.135,12.041,Cuarto - Primaria,1.007,1.974
Mujeres,5.906,12.041,Cuarto - Primaria,967,1.974
Hombres,6.135,12.041,Quinto - Primaria,976,1.887
Mujeres,5.906,12.041,Quinto - Primaria,911,1.887
Hombres,6.135,12.041,Sexto - Primaria,1.032,1.948
Mujeres,5.906,12.041,Sexto - Primaria,916,1.948

