TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,1.801,3.627,Primero - Primaria,313,637
Mujeres,1.826,3.627,Primero - Primaria,324,637
Hombres,1.801,3.627,Segundo - Primaria,314,610
Mujeres,1.826,3.627,Segundo - Primaria,296,610
Hombres,1.801,3.627,Tercero - Primaria,286,595
Mujeres,1.826,3.627,Tercero - Primaria,309,595
Hombres,1.801,3.627,Cuarto - Primaria,299,600
Mujeres,1.826,3.627,Cuarto - Primaria,301,600
Hombres,1.801,3.627,Quinto - Primaria,284,561
Mujeres,1.826,3.627,Quinto - Primaria,277,561
Hombres,1.801,3.627,Sexto - Primaria,305,624
Mujeres,1.826,3.627,Sexto - Primaria,319,624

