TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,6.254,12.278,Primero - Primaria,1.176,2.317
Mujeres,6.024,12.278,Primero - Primaria,1.141,2.317
Hombres,6.254,12.278,Segundo - Primaria,1.132,2.180
Mujeres,6.024,12.278,Segundo - Primaria,1.048,2.180
Hombres,6.254,12.278,Tercero - Primaria,1.020,1.964
Mujeres,6.024,12.278,Tercero - Primaria,944,1.964
Hombres,6.254,12.278,Cuarto - Primaria,1.006,2.020
Mujeres,6.024,12.278,Cuarto - Primaria,1.014,2.020
Hombres,6.254,12.278,Quinto - Primaria,941,1.869
Mujeres,6.024,12.278,Quinto - Primaria,928,1.869
Hombres,6.254,12.278,Sexto - Primaria,979,1.928
Mujeres,6.024,12.278,Sexto - Primaria,949,1.928

