TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,6.132,12.070,Primero - Primaria,1.060,2.093
Mujeres,5.938,12.070,Primero - Primaria,1.033,2.093
Hombres,6.132,12.070,Segundo - Primaria,1.093,2.095
Mujeres,5.938,12.070,Segundo - Primaria,1.002,2.095
Hombres,6.132,12.070,Tercero - Primaria,934,1.881
Mujeres,5.938,12.070,Tercero - Primaria,947,1.881
Hombres,6.132,12.070,Cuarto - Primaria,1.022,2.039
Mujeres,5.938,12.070,Cuarto - Primaria,1.017,2.039
Hombres,6.132,12.070,Quinto - Primaria,987,1.934
Mujeres,5.938,12.070,Quinto - Primaria,947,1.934
Hombres,6.132,12.070,Sexto - Primaria,1.036,2.028
Mujeres,5.938,12.070,Sexto - Primaria,992,2.028

