TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,2.531,5.247,Primero - Primaria,422,852
Mujeres,2.716,5.247,Primero - Primaria,430,852
Hombres,2.531,5.247,Segundo - Primaria,455,885
Mujeres,2.716,5.247,Segundo - Primaria,430,885
Hombres,2.531,5.247,Tercero - Primaria,411,865
Mujeres,2.716,5.247,Tercero - Primaria,454,865
Hombres,2.531,5.247,Cuarto - Primaria,413,885
Mujeres,2.716,5.247,Cuarto - Primaria,472,885
Hombres,2.531,5.247,Quinto - Primaria,382,822
Mujeres,2.716,5.247,Quinto - Primaria,440,822
Hombres,2.531,5.247,Sexto - Primaria,448,938
Mujeres,2.716,5.247,Sexto - Primaria,490,938

