TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,6.478,12.349,Primero - Primaria,1.075,2.075
Mujeres,5.871,12.349,Primero - Primaria,1.000,2.075
Hombres,6.478,12.349,Segundo - Primaria,1.175,2.188
Mujeres,5.871,12.349,Segundo - Primaria,1.013,2.188
Hombres,6.478,12.349,Tercero - Primaria,1.012,1.901
Mujeres,5.871,12.349,Tercero - Primaria,889,1.901
Hombres,6.478,12.349,Cuarto - Primaria,1.042,2.039
Mujeres,5.871,12.349,Cuarto - Primaria,997,2.039
Hombres,6.478,12.349,Quinto - Primaria,1.047,1.991
Mujeres,5.871,12.349,Quinto - Primaria,944,1.991
Hombres,6.478,12.349,Sexto - Primaria,1.127,2.155
Mujeres,5.871,12.349,Sexto - Primaria,1.028,2.155

