TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,3.338,6.439,Primero - Primaria,565,1.096
Mujeres,3.101,6.439,Primero - Primaria,531,1.096
Hombres,3.338,6.439,Segundo - Primaria,592,1.062
Mujeres,3.101,6.439,Segundo - Primaria,470,1.062
Hombres,3.338,6.439,Tercero - Primaria,544,1.042
Mujeres,3.101,6.439,Tercero - Primaria,498,1.042
Hombres,3.338,6.439,Cuarto - Primaria,532,1.049
Mujeres,3.101,6.439,Cuarto - Primaria,517,1.049
Hombres,3.338,6.439,Quinto - Primaria,555,1.070
Mujeres,3.101,6.439,Quinto - Primaria,515,1.070
Hombres,3.338,6.439,Sexto - Primaria,550,1.120
Mujeres,3.101,6.439,Sexto - Primaria,570,1.120

