TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,4.641,9.170,Primero - Primaria,729,1.447
Mujeres,4.529,9.170,Primero - Primaria,718,1.447
Hombres,4.641,9.170,Segundo - Primaria,783,1.544
Mujeres,4.529,9.170,Segundo - Primaria,761,1.544
Hombres,4.641,9.170,Tercero - Primaria,747,1.501
Mujeres,4.529,9.170,Tercero - Primaria,754,1.501
Hombres,4.641,9.170,Cuarto - Primaria,788,1.566
Mujeres,4.529,9.170,Cuarto - Primaria,778,1.566
Hombres,4.641,9.170,Quinto - Primaria,800,1.539
Mujeres,4.529,9.170,Quinto - Primaria,739,1.539
Hombres,4.641,9.170,Sexto - Primaria,794,1.573
Mujeres,4.529,9.170,Sexto - Primaria,779,1.573

