TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,1.912,3.778,Primero - Primaria,328,640
Mujeres,1.866,3.778,Primero - Primaria,312,640
Hombres,1.912,3.778,Segundo - Primaria,345,663
Mujeres,1.866,3.778,Segundo - Primaria,318,663
Hombres,1.912,3.778,Tercero - Primaria,283,588
Mujeres,1.866,3.778,Tercero - Primaria,305,588
Hombres,1.912,3.778,Cuarto - Primaria,291,613
Mujeres,1.866,3.778,Cuarto - Primaria,322,613
Hombres,1.912,3.778,Quinto - Primaria,312,611
Mujeres,1.866,3.778,Quinto - Primaria,299,611
Hombres,1.912,3.778,Sexto - Primaria,353,663
Mujeres,1.866,3.778,Sexto - Primaria,310,663

