TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,2.247,4.472,Primero - Primaria,436,829
Mujeres,2.225,4.472,Primero - Primaria,393,829
Hombres,2.247,4.472,Segundo - Primaria,409,827
Mujeres,2.225,4.472,Segundo - Primaria,418,827
Hombres,2.247,4.472,Tercero - Primaria,350,733
Mujeres,2.225,4.472,Tercero - Primaria,383,733
Hombres,2.247,4.472,Cuarto - Primaria,375,721
Mujeres,2.225,4.472,Cuarto - Primaria,346,721
Hombres,2.247,4.472,Quinto - Primaria,349,700
Mujeres,2.225,4.472,Quinto - Primaria,351,700
Hombres,2.247,4.472,Sexto - Primaria,328,662
Mujeres,2.225,4.472,Sexto - Primaria,334,662

