TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,3.156,6.201,Primero - Primaria,547,1.053
Mujeres,3.045,6.201,Primero - Primaria,506,1.053
Hombres,3.156,6.201,Segundo - Primaria,509,1.008
Mujeres,3.045,6.201,Segundo - Primaria,499,1.008
Hombres,3.156,6.201,Tercero - Primaria,534,1.065
Mujeres,3.045,6.201,Tercero - Primaria,531,1.065
Hombres,3.156,6.201,Cuarto - Primaria,546,1.035
Mujeres,3.045,6.201,Cuarto - Primaria,489,1.035
Hombres,3.156,6.201,Quinto - Primaria,487,1.015
Mujeres,3.045,6.201,Quinto - Primaria,528,1.015
Hombres,3.156,6.201,Sexto - Primaria,533,1.025
Mujeres,3.045,6.201,Sexto - Primaria,492,1.025

