TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,1.755,3.310,Primero - Primaria,298,553
Mujeres,1.555,3.310,Primero - Primaria,255,553
Hombres,1.755,3.310,Segundo - Primaria,302,566
Mujeres,1.555,3.310,Segundo - Primaria,264,566
Hombres,1.755,3.310,Tercero - Primaria,305,558
Mujeres,1.555,3.310,Tercero - Primaria,253,558
Hombres,1.755,3.310,Cuarto - Primaria,297,575
Mujeres,1.555,3.310,Cuarto - Primaria,278,575
Hombres,1.755,3.310,Quinto - Primaria,260,521
Mujeres,1.555,3.310,Quinto - Primaria,261,521
Hombres,1.755,3.310,Sexto - Primaria,293,537
Mujeres,1.555,3.310,Sexto - Primaria,244,537

