TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,5.909,11.857,Primero - Primaria,980,1.962
Mujeres,5.948,11.857,Primero - Primaria,982,1.962
Hombres,5.909,11.857,Segundo - Primaria,964,1.931
Mujeres,5.948,11.857,Segundo - Primaria,967,1.931
Hombres,5.909,11.857,Tercero - Primaria,976,1.941
Mujeres,5.948,11.857,Tercero - Primaria,965,1.941
Hombres,5.909,11.857,Cuarto - Primaria,989,2.037
Mujeres,5.948,11.857,Cuarto - Primaria,1.048,2.037
Hombres,5.909,11.857,Quinto - Primaria,997,2.003
Mujeres,5.948,11.857,Quinto - Primaria,1.006,2.003
Hombres,5.909,11.857,Sexto - Primaria,1.003,1.983
Mujeres,5.948,11.857,Sexto - Primaria,980,1.983

