TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,2.985,5.972,Primero - Primaria,502,970
Mujeres,2.987,5.972,Primero - Primaria,468,970
Hombres,2.985,5.972,Segundo - Primaria,513,1.022
Mujeres,2.987,5.972,Segundo - Primaria,509,1.022
Hombres,2.985,5.972,Tercero - Primaria,480,977
Mujeres,2.987,5.972,Tercero - Primaria,497,977
Hombres,2.985,5.972,Cuarto - Primaria,467,1.006
Mujeres,2.987,5.972,Cuarto - Primaria,539,1.006
Hombres,2.985,5.972,Quinto - Primaria,490,992
Mujeres,2.987,5.972,Quinto - Primaria,502,992
Hombres,2.985,5.972,Sexto - Primaria,533,1.005
Mujeres,2.987,5.972,Sexto - Primaria,472,1.005

