TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,5.508,10.888,Primero - Primaria,837,1.746
Mujeres,5.380,10.888,Primero - Primaria,909,1.746
Hombres,5.508,10.888,Segundo - Primaria,914,1.765
Mujeres,5.380,10.888,Segundo - Primaria,851,1.765
Hombres,5.508,10.888,Tercero - Primaria,906,1.779
Mujeres,5.380,10.888,Tercero - Primaria,873,1.779
Hombres,5.508,10.888,Cuarto - Primaria,903,1.814
Mujeres,5.380,10.888,Cuarto - Primaria,911,1.814
Hombres,5.508,10.888,Quinto - Primaria,933,1.801
Mujeres,5.380,10.888,Quinto - Primaria,868,1.801
Hombres,5.508,10.888,Sexto - Primaria,1.015,1.983
Mujeres,5.380,10.888,Sexto - Primaria,968,1.983

