TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,9.155,17.707,Primero - Primaria,1.483,2.925
Mujeres,8.552,17.707,Primero - Primaria,1.442,2.925
Hombres,9.155,17.707,Segundo - Primaria,1.496,2.889
Mujeres,8.552,17.707,Segundo - Primaria,1.393,2.889
Hombres,9.155,17.707,Tercero - Primaria,1.536,3.015
Mujeres,8.552,17.707,Tercero - Primaria,1.479,3.015
Hombres,9.155,17.707,Cuarto - Primaria,1.558,3.023
Mujeres,8.552,17.707,Cuarto - Primaria,1.465,3.023
Hombres,9.155,17.707,Quinto - Primaria,1.526,2.925
Mujeres,8.552,17.707,Quinto - Primaria,1.399,2.925
Hombres,9.155,17.707,Sexto - Primaria,1.556,2.930
Mujeres,8.552,17.707,Sexto - Primaria,1.374,2.930

