TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,4.581,9.036,Primero - Primaria,776,1.536
Mujeres,4.455,9.036,Primero - Primaria,760,1.536
Hombres,4.581,9.036,Segundo - Primaria,754,1.428
Mujeres,4.455,9.036,Segundo - Primaria,674,1.428
Hombres,4.581,9.036,Tercero - Primaria,717,1.477
Mujeres,4.455,9.036,Tercero - Primaria,760,1.477
Hombres,4.581,9.036,Cuarto - Primaria,807,1.532
Mujeres,4.455,9.036,Cuarto - Primaria,725,1.532
Hombres,4.581,9.036,Quinto - Primaria,747,1.525
Mujeres,4.455,9.036,Quinto - Primaria,778,1.525
Hombres,4.581,9.036,Sexto - Primaria,780,1.538
Mujeres,4.455,9.036,Sexto - Primaria,758,1.538

