TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,4.038,7.887,Primero - Primaria,630,1.288
Mujeres,3.849,7.887,Primero - Primaria,658,1.288
Hombres,4.038,7.887,Segundo - Primaria,666,1.261
Mujeres,3.849,7.887,Segundo - Primaria,595,1.261
Hombres,4.038,7.887,Tercero - Primaria,672,1.300
Mujeres,3.849,7.887,Tercero - Primaria,628,1.300
Hombres,4.038,7.887,Cuarto - Primaria,662,1.302
Mujeres,3.849,7.887,Cuarto - Primaria,640,1.302
Hombres,4.038,7.887,Quinto - Primaria,701,1.354
Mujeres,3.849,7.887,Quinto - Primaria,653,1.354
Hombres,4.038,7.887,Sexto - Primaria,707,1.382
Mujeres,3.849,7.887,Sexto - Primaria,675,1.382

