TITULARIDAD_CONCIERTO2,CentrosAM2,CentrosAM3,Niveles,Textbox15,Textbox16
Hombres,4.156,8.091,Primero - Primaria,737,1.409
Mujeres,3.935,8.091,Primero - Primaria,672,1.409
Hombres,4.156,8.091,Segundo - Primaria,745,1.480
Mujeres,3.935,8.091,Segundo - Primaria,735,1.480
Hombres,4.156,8.091,Tercero - Primaria,696,1.340
Mujeres,3.935,8.091,Tercero - Primaria,644,1.340
Hombres,4.156,8.091,Cuarto - Primaria,672,1.337
Mujeres,3.935,8.091,Cuarto - Primaria,665,1.337
Hombres,4.156,8.091,Quinto - Primaria,669,1.308
Mujeres,3.935,8.091,Quinto - Primaria,639,1.308
Hombres,4.156,8.091,Sexto - Primaria,637,1.217
Mujeres,3.935,8.091,Sexto - Primaria,580,1.217

